indexDateString,value,statusCode
10-09-2002,2.798,OK
11-09-2002,2.61,OK
12-09-2002,2.44,OK
13-09-2002,2.44,OK
14-09-2002,NeuN,ND
15-09-2002,NeuN,ND
16-09-2002,2.28115384615385,OK
17-09-2002,NeuN,ND
18-09-2002,NeuN,ND
19-09-2002,NeuN,ND
20-09-2002,NeuN,ND
21-09-2002,NeuN,ND
22-09-2002,NeuN,ND
23-09-2002,2.28115384615385,OK
24-09-2002,2.66204,OK
25-09-2002,2.54,OK
26-09-2002,2.58,OK
27-09-2002,NeuN,ND
28-09-2002,NeuN,ND
29-09-2002,NeuN,ND
30-09-2002,2.65,OK
01-10-2002,2.88,OK
02-10-2002,2.76,OK
03-10-2002,NeuN,ND
04-10-2002,NeuN,ND
05-10-2002,NeuN,ND
06-10-2002,NeuN,ND
07-10-2002,2.57,OK
08-10-2002,2.57,OK
09-10-2002,NeuN,ND
10-10-2002,NeuN,ND
11-10-2002,NeuN,ND
12-10-2002,NeuN,ND
13-10-2002,NeuN,ND
14-10-2002,2.57,OK
15-10-2002,2.95,OK
16-10-2002,2.87,OK
17-10-2002,2.89,OK
18-10-2002,2.85,OK
19-10-2002,NeuN,ND
20-10-2002,NeuN,ND
21-10-2002,2.83,OK
22-10-2002,2.92,OK
23-10-2002,2.88,OK
24-10-2002,NeuN,ND
25-10-2002,NeuN,ND
26-10-2002,NeuN,ND
27-10-2002,NeuN,ND
28-10-2002,2.88,OK
29-10-2002,3.022,OK
30-10-2002,2.97,OK
31-10-2002,3.1,OK
01-11-2002,NeuN,ND
02-11-2002,NeuN,ND
03-11-2002,NeuN,ND
04-11-2002,3.11,OK
05-11-2002,2.98,OK
06-11-2002,3.06,OK
07-11-2002,3.12,OK
08-11-2002,3.15,OK
09-11-2002,NeuN,ND
10-11-2002,NeuN,ND
11-11-2002,3.15,OK
12-11-2002,3.25,OK
13-11-2002,3.15,OK
14-11-2002,3.13,OK
15-11-2002,NeuN,ND
16-11-2002,NeuN,ND
17-11-2002,NeuN,ND
18-11-2002,2.99,OK
19-11-2002,2.96,OK
20-11-2002,2.83,OK
21-11-2002,2.83,OK
22-11-2002,2.83,OK
23-11-2002,NeuN,ND
24-11-2002,NeuN,ND
25-11-2002,3.2,OK
26-11-2002,3.2245,OK
27-11-2002,3.19,OK
28-11-2002,3.24,OK
29-11-2002,NeuN,ND
30-11-2002,NeuN,ND
01-12-2002,NeuN,ND
02-12-2002,3.46,OK
03-12-2002,3.38,OK
04-12-2002,3.38,OK
05-12-2002,3.22,OK
06-12-2002,NeuN,ND
07-12-2002,NeuN,ND
08-12-2002,NeuN,ND
09-12-2002,3.22,OK
10-12-2002,3.17,OK
11-12-2002,3.17,OK
12-12-2002,3.26,OK
13-12-2002,3.29,OK
14-12-2002,NeuN,ND
15-12-2002,NeuN,ND
16-12-2002,NeuN,ND
17-12-2002,NeuN,ND
18-12-2002,NeuN,ND
19-12-2002,3.24,OK
20-12-2002,3.25,OK
21-12-2002,NeuN,ND
22-12-2002,NeuN,ND
23-12-2002,3.25,OK
24-12-2002,3.25,OK
25-12-2002,NeuN,ND
26-12-2002,3.25,OK
27-12-2002,3.19,OK
28-12-2002,NeuN,ND
29-12-2002,NeuN,ND
30-12-2002,NeuN,ND
31-12-2002,NeuN,ND
01-01-2003,NeuN,ND
02-01-2003,3.05,OK
03-01-2003,NeuN,ND
04-01-2003,NeuN,ND
05-01-2003,NeuN,ND
06-01-2003,3.05,OK
07-01-2003,3.05,OK
08-01-2003,NeuN,ND
09-01-2003,2.92,OK
10-01-2003,2.82,OK
11-01-2003,NeuN,ND
12-01-2003,NeuN,ND
13-01-2003,2.67,OK
14-01-2003,2.63,OK
15-01-2003,2.66,OK
16-01-2003,2.67,OK
17-01-2003,NeuN,ND
18-01-2003,NeuN,ND
19-01-2003,NeuN,ND
20-01-2003,NeuN,ND
21-01-2003,2.67,OK
22-01-2003,NeuN,ND
23-01-2003,NeuN,ND
24-01-2003,NeuN,ND
25-01-2003,NeuN,ND
26-01-2003,NeuN,ND
27-01-2003,2.67,OK
28-01-2003,2.67,OK
29-01-2003,2.63,OK
30-01-2003,2.61,OK
31-01-2003,NeuN,ND
01-02-2003,NeuN,ND
02-02-2003,NeuN,ND
03-02-2003,2.61,OK
04-02-2003,2.61,OK
05-02-2003,2.61,OK
06-02-2003,2.63,OK
