indexDateString,value,statusCode
01-10-2001,-0.5,OK
01-01-2002,NeuN,ND
01-04-2002,NeuN,ND
01-07-2002,NeuN,ND
01-10-2002,-1.2,OK
01-01-2003,NeuN,ND
01-04-2003,NeuN,ND
01-07-2003,NeuN,ND
01-10-2003,-0.5,OK
01-01-2004,NeuN,ND
01-04-2004,NeuN,ND
01-07-2004,NeuN,ND
01-10-2004,2.1,OK
01-01-2005,1.3,OK
01-04-2005,1.5,OK
01-07-2005,0.9,OK
01-10-2005,1,OK
01-01-2006,2,OK
01-04-2006,2.1,OK
01-07-2006,2.4,OK
01-10-2006,1.3,OK
01-01-2007,2.4,OK
01-04-2007,2.8,OK
01-07-2007,2.3,OK
01-10-2007,1.3,OK
01-01-2008,3,OK
01-04-2008,0.9,OK
01-07-2008,1.2,OK
01-10-2008,0,OK
01-01-2009,-0.7,OK
01-04-2009,-1.8,OK
01-07-2009,-1.3,OK
01-10-2009,-0.7,OK
01-01-2010,0,OK
01-04-2010,0.9,OK
01-07-2010,-0.2,OK
01-10-2010,-1.1,OK
01-01-2011,1.2,OK
01-04-2011,1.3,OK
01-07-2011,0.5,OK
01-10-2011,-1.5,OK
01-01-2012,1.2,OK
01-04-2012,0.8,OK
01-07-2012,-0.3,OK
01-10-2012,-1.1,OK
01-01-2013,0.8,OK
01-04-2013,-0.2,OK
01-07-2013,0,OK
01-10-2013,-1.2,OK
01-01-2014,0.3,OK
01-04-2014,-0.2,OK
01-07-2014,-0.4,OK
01-10-2014,-1.4,OK
01-01-2015,0.1,OK
01-04-2015,-0.4,OK
01-07-2015,-0.5,OK
01-10-2015,-1.4,OK
01-01-2016,0.5,OK
01-04-2016,-0.5,OK
01-07-2016,-1.2,OK
01-10-2016,-1.6,OK
01-01-2017,-0.2,OK
01-04-2017,-0.1,OK
01-07-2017,-1,OK
01-10-2017,-1.6,OK
01-01-2018,-0.1,OK
01-04-2018,0,OK
01-07-2018,-0.4,OK
01-10-2018,-1.1,OK
01-01-2019,-0.2,OK
01-04-2019,-0.1,OK
01-07-2019,-0.8,OK
01-10-2019,-1.7,OK
01-01-2020,-0.2,OK
01-04-2020,-2.3,OK
01-07-2020,-3.2,OK
01-10-2020,-1.7,OK
01-01-2021,-0.7,OK
01-04-2021,-1.9,OK
01-07-2021,-3.3,OK
