indexDateString,value,statusCode
01-01-2000,84.56001857,OK
01-02-2000,84.50197353,OK
01-03-2000,81.44299977,OK
01-04-2000,79.43464128,OK
01-05-2000,81.077316,OK
01-06-2000,81.64615742,OK
01-07-2000,82.37172046,OK
01-08-2000,83.74158347,OK
01-09-2000,84.57162758,OK
01-10-2000,84.85604829,OK
01-11-2000,84.80380775,OK
01-12-2000,85.52356629,OK
01-01-2001,84.16531228,OK
01-02-2001,83.50359879,OK
01-03-2001,88.22266078,OK
01-04-2001,91.10169492,OK
01-05-2001,91.885303,OK
01-06-2001,92.09426515,OK
01-07-2001,94.78175064,OK
01-08-2001,99.88390991,OK
01-09-2001,100.0058045,OK
01-10-2001,101.5846297,OK
01-11-2001,102.5830044,OK
01-12-2001,97.28349199,OK
01-01-2002,93.71372185,OK
01-02-2002,94.98490829,OK
01-03-2002,93.2493615,OK
01-04-2002,91.03204086,OK
01-05-2002,89.98723009,OK
01-06-2002,91.85047597,OK
01-07-2002,97.06292083,OK
01-08-2002,98.67657302,OK
01-09-2002,100.4759694,OK
01-10-2002,104.2024611,OK
01-11-2002,106.4313908,OK
01-12-2002,98.83909914,OK
01-01-2003,99.00742977,OK
01-02-2003,101.5091711,OK
01-03-2003,102.1824936,OK
01-04-2003,98.22382169,OK
01-05-2003,95.30415603,OK
01-06-2003,97.28349199,OK
01-07-2003,95.8149524,OK
01-08-2003,96.47086139,OK
01-09-2003,95.83817042,OK
01-10-2003,91.86788948,OK
01-11-2003,87.49129324,OK
01-12-2003,86.80055723,OK
01-01-2004,83.80543302,OK
01-02-2004,86.01694915,OK
01-03-2004,88.42001393,OK
01-04-2004,90.93916879,OK
01-05-2004,95.71047133,OK
01-06-2004,95.07197585,OK
01-07-2004,94.61922452,OK
01-08-2004,95.34478756,OK
01-09-2004,92.76758765,OK
01-10-2004,89.72022289,OK
01-11-2004,88.97144184,OK
01-12-2004,86.20269329,OK
01-01-2005,82.9753889,OK
01-02-2005,84.5890411,OK
01-03-2005,86.40585094,OK
01-04-2005,86.76573021,OK
01-05-2005,85.04179243,OK
01-06-2005,86.98630137,OK
01-07-2005,86.58579057,OK
01-08-2005,84.37427444,OK
01-09-2005,80.24727188,OK
01-10-2005,78.94706292,OK
01-11-2005,79.66101695,OK
01-12-2005,77.50174135,OK
01-01-2006,77.18249362,OK
01-02-2006,78.38983051,OK
01-03-2006,78.6452287,OK
01-04-2006,79.3185512,OK
01-05-2006,82.36011145,OK
01-06-2006,84.78058974,OK
01-07-2006,86.67866264,OK
01-08-2006,84.12468075,OK
01-09-2006,83.79962851,OK
01-10-2006,86.0807987,OK
01-11-2006,88.12978872,OK
01-12-2006,90.05688414,OK
01-01-2007,89.99303459,OK
01-02-2007,90.64313908,OK
01-03-2007,89.4590202,OK
01-04-2007,91.84467147,OK
01-05-2007,89.1862085,OK
01-06-2007,89.98142559,OK
01-07-2007,88.33875087,OK
01-08-2007,90.62572556,OK
01-09-2007,95.47248665,OK
01-10-2007,94.36963083,OK
01-11-2007,100,OK
01-12-2007,102.26,OK
01-01-2008,98.91,OK
01-02-2008,97.88,OK
01-03-2008,97.24,OK
01-04-2008,102.22,OK
01-05-2008,101.39,OK
01-06-2008,123.84,OK
01-07-2008,127.36,OK
01-08-2008,127.65,OK
01-09-2008,138.97,OK
01-10-2008,151.62,OK
01-11-2008,148.88,OK
01-12-2008,132.77,OK
01-01-2009,120.43,OK
01-02-2009,104.02,OK
01-03-2009,111.54,OK
01-04-2009,108.98,OK
01-05-2009,107.55,OK
01-06-2009,102.47,OK
01-07-2009,104.29,OK
01-08-2009,105.06,OK
01-09-2009,110.51,OK
01-10-2009,121.33,OK
01-11-2009,114.82,OK
01-12-2009,112.07,OK
01-01-2010,111.64,OK
01-02-2010,112.6,OK
01-03-2010,122.01,OK
01-04-2010,127.25,OK
01-05-2010,131.2,OK
01-06-2010,126.22,OK
01-07-2010,131.32,OK
01-08-2010,121.41,OK
01-09-2010,120.69,OK
01-10-2010,121.64,OK
01-11-2010,142.66,OK
01-12-2010,135.38,OK
01-01-2011,147.72,OK
01-02-2011,146.45,OK
01-03-2011,173.53,OK
01-04-2011,182.22,OK
01-05-2011,182.23,OK
01-06-2011,170.67,OK
01-07-2011,169.69,OK
01-08-2011,161.33,OK
01-09-2011,169.96,OK
01-10-2011,183.45,OK
01-11-2011,170.3,OK
01-12-2011,166.99,OK
