indexDateString,value,statusCode
01-01-2000,156.76,OK
01-02-2000,159.85,OK
01-03-2000,162.6,OK
01-04-2000,157.94,OK
01-05-2000,160.93,OK
01-06-2000,165.03,OK
01-07-2000,169,OK
01-08-2000,169.62,OK
01-09-2000,178.08,OK
01-10-2000,179.19,OK
01-11-2000,184.44,OK
01-12-2000,181.54,OK
01-01-2001,177.26,OK
01-02-2001,178.43,OK
01-03-2001,177.26,OK
01-04-2001,181.09,OK
01-05-2001,182.82,OK
01-06-2001,183.29,OK
01-07-2001,187.4,OK
01-08-2001,188.79,OK
01-09-2001,189.57,OK
01-10-2001,187.5,OK
01-11-2001,182.39,OK
01-12-2001,177.73,OK
01-01-2002,179.45,OK
01-02-2002,182.72,OK
01-03-2002,185.66,OK
01-04-2002,188.62,OK
01-05-2002,191.99,OK
01-06-2002,193.18,OK
01-07-2002,201.04,OK
01-08-2002,202.66,OK
01-09-2002,209.54,OK
01-10-2002,212.77,OK
01-11-2002,208.14,OK
01-12-2002,208.99,OK
01-01-2003,218.9,OK
01-02-2003,229.19,OK
01-03-2003,234.76,OK
01-04-2003,224.65,OK
01-05-2003,220.12,OK
01-06-2003,223.96,OK
01-07-2003,220.9,OK
01-08-2003,224.07,OK
01-09-2003,220.12,OK
01-10-2003,217.37,OK
01-11-2003,216.44,OK
01-12-2003,215.45,OK
01-01-2004,213.37,OK
01-02-2004,218.87,OK
01-03-2004,230.7,OK
01-04-2004,237.22,OK
01-05-2004,256.8,OK
01-06-2004,260.7,OK
01-07-2004,257.34,OK
01-08-2004,266.03,OK
01-09-2004,264.82,OK
01-10-2004,270.18,OK
01-11-2004,266.98,OK
01-12-2004,262.39,OK
01-01-2005,262.06,OK
01-02-2005,264.34,OK
01-03-2005,272.98,OK
01-04-2005,276.99,OK
01-05-2005,278.2,OK
01-06-2005,283.41,OK
01-07-2005,286.16,OK
01-08-2005,289.78,OK
01-09-2005,290.27,OK
01-10-2005,290.39,OK
01-11-2005,282.07,OK
01-12-2005,283.85,OK
01-01-2006,293.47,OK
01-02-2006,304.48,OK
01-03-2006,303.67,OK
01-04-2006,316.7,OK
01-05-2006,316.54,OK
01-06-2006,343.95,OK
01-07-2006,399.81,OK
01-08-2006,385.42,OK
01-09-2006,389.42,OK
01-10-2006,382.68,OK
01-11-2006,371.13,OK
01-12-2006,363.01,OK
01-01-2007,359.04,OK
01-02-2007,348.36,OK
01-03-2007,332.59,OK
01-04-2007,331.84,OK
01-05-2007,344.45,OK
01-06-2007,376.67,OK
01-07-2007,384.45,OK
01-08-2007,380.91,OK
01-09-2007,389.52,OK
01-10-2007,386.65,OK
01-11-2007,389.1,OK
