indexDateString,value,statusCode
01-01-2018,98.61,OK
01-02-2018,99.07,OK
01-03-2018,99.38,OK
01-04-2018,99.92,OK
01-05-2018,100.43,OK
01-06-2018,99.61,OK
01-07-2018,99.96,OK
01-08-2018,100.56,OK
01-09-2018,100.45,OK
01-10-2018,100.4,OK
01-11-2018,100.72,OK
01-12-2018,100.88,OK
01-01-2019,101.6,OK
01-02-2019,101.76,OK
01-03-2019,102.16,OK
01-04-2019,102.76,OK
01-05-2019,102.82,OK
01-06-2019,102.4,OK
01-07-2019,101.76,OK
01-08-2019,102.78,OK
01-09-2019,103.02,OK
01-10-2019,103.15,OK
01-11-2019,103.21,OK
01-12-2019,103.63,OK
01-01-2020,103.55,OK
01-02-2020,103.62,OK
01-03-2020,103.66,OK
01-04-2020,102.79,OK
01-05-2020,103.2,OK
01-06-2020,102.65,OK
01-07-2020,103.37,OK
01-08-2020,103.6,OK
01-09-2020,104.22,OK
01-10-2020,106.58,OK
01-11-2020,106.56,OK
01-12-2020,107.41,OK
01-01-2021,108.89,OK
01-02-2021,108.42,OK
01-03-2021,108.9,OK
01-04-2021,109.7,OK
01-05-2021,110.65,OK
01-06-2021,109.83,OK
01-07-2021,110.68,OK
01-08-2021,111.8,OK
01-09-2021,112.78,OK
01-10-2021,112.37,OK
01-11-2021,113.29,OK
