indexDateString,value,statusCode
01-01-2018,99.1,OK
01-02-2018,99.29,OK
01-03-2018,99.63,OK
01-04-2018,99.85,OK
01-05-2018,100.09,OK
01-06-2018,99.97,OK
01-07-2018,100.19,OK
01-08-2018,100.13,OK
01-09-2018,100.19,OK
01-10-2018,100.55,OK
01-11-2018,100.45,OK
01-12-2018,100.56,OK
01-01-2019,100.97,OK
01-02-2019,101.23,OK
01-03-2019,101.67,OK
01-04-2019,101.76,OK
01-05-2019,102.12,OK
01-06-2019,102.11,OK
01-07-2019,102.41,OK
01-08-2019,102.48,OK
01-09-2019,102.54,OK
01-10-2019,103.14,OK
01-11-2019,102.98,OK
01-12-2019,103.11,OK
01-01-2020,103.52,OK
01-02-2020,103.96,OK
01-03-2020,104.23,OK
01-04-2020,104.13,OK
01-05-2020,104.23,OK
01-06-2020,104.14,OK
01-07-2020,104.25,OK
01-08-2020,104.48,OK
01-09-2020,104.84,OK
01-10-2020,105.6,OK
01-11-2020,105.4,OK
01-12-2020,105.78,OK
01-01-2021,106.26,OK
01-02-2021,106.46,OK
01-03-2021,106.95,OK
01-04-2021,107.1,OK
01-05-2021,107.46,OK
01-06-2021,107.39,OK
01-07-2021,108.01,OK
01-08-2021,108.41,OK
01-09-2021,109.43,OK
01-10-2021,110.94,OK
01-11-2021,111.52,OK
