indexDateString,value,statusCode
01-01-2014,98.55,OK
01-02-2014,99.68,OK
01-03-2014,97.68,OK
01-04-2014,97.02,OK
01-05-2014,98.6,OK
01-06-2014,98.15,OK
01-07-2014,100.61,OK
01-08-2014,102.36,OK
01-09-2014,102.92,OK
01-10-2014,101.52,OK
01-11-2014,101.42,OK
01-12-2014,101.47,OK
01-01-2015,97.87,OK
01-02-2015,97.67,OK
01-03-2015,99.81,OK
01-04-2015,99.06,OK
01-05-2015,100.57,OK
01-06-2015,99.43,OK
01-07-2015,98.36,OK
01-08-2015,98.93,OK
01-09-2015,100.26,OK
01-10-2015,99.56,OK
01-11-2015,97.83,OK
01-12-2015,95.92,OK
01-01-2016,96.13,OK
01-02-2016,96.43,OK
01-03-2016,98.12,OK
01-04-2016,97.17,OK
01-05-2016,97.51,OK
01-06-2016,96.99,OK
01-07-2016,97.2,OK
01-08-2016,97.05,OK
01-09-2016,96.9,OK
01-10-2016,96.78,OK
01-11-2016,102.53,OK
01-12-2016,104.2,OK
01-01-2017,105.19,OK
01-02-2017,104.85,OK
01-03-2017,105.59,OK
01-04-2017,104.43,OK
01-05-2017,105.16,OK
01-06-2017,105.15,OK
01-07-2017,106.9,OK
01-08-2017,109.23,OK
01-09-2017,108.59,OK
01-10-2017,111.28,OK
01-11-2017,112.46,OK
01-12-2017,112.92,OK
01-01-2018,112.2,OK
01-02-2018,111.31,OK
01-03-2018,110.67,OK
01-04-2018,110.91,OK
01-05-2018,113.72,OK
01-06-2018,115.82,OK
01-07-2018,112.55,OK
01-08-2018,110.94,OK
01-09-2018,113.65,OK
01-10-2018,114.63,OK
01-11-2018,114.36,OK
01-12-2018,113.99,OK
01-01-2019,111.99,OK
01-02-2019,112.83,OK
01-03-2019,115.17,OK
01-04-2019,115.03,OK
01-05-2019,115.02,OK
01-06-2019,113.94,OK
01-07-2019,114.03,OK
01-08-2019,113.19,OK
01-09-2019,113.96,OK
01-10-2019,114.33,OK
01-11-2019,120.04,OK
01-12-2019,120.97,OK
01-01-2020,120.16,OK
01-02-2020,118.76,OK
01-03-2020,117.22,OK
01-04-2020,117.06,OK
01-05-2020,116.05,OK
01-06-2020,118.6,OK
01-07-2020,123.7,OK
01-08-2020,125.78,OK
01-09-2020,126.86,OK
01-10-2020,128.97,OK
01-11-2020,129.77,OK
01-12-2020,133.32,OK
01-01-2021,134.83,OK
01-02-2021,139.59,OK
01-03-2021,145.42,OK
01-04-2021,146.81,OK
01-05-2021,155.98,OK
01-06-2021,154.66,OK
01-07-2021,157.55,OK
01-08-2021,161.84,OK
01-09-2021,161.53,OK
01-10-2021,170.1,OK
