indexDateString,value,statusCode
01-11-2007,100,OK
01-12-2007,99.24,OK
01-01-2008,74,OK
01-02-2008,93.96,OK
01-03-2008,97.58,OK
01-04-2008,88.07,OK
01-05-2008,85.35,OK
01-06-2008,81.73,OK
01-07-2008,82.76,OK
01-08-2008,80.02,OK
01-09-2008,78.55,OK
01-10-2008,71.04,OK
01-11-2008,58.88,OK
01-12-2008,54.36,OK
01-01-2009,50.23,OK
01-02-2009,44.75,OK
01-03-2009,45.36,OK
01-04-2009,42.03,OK
01-05-2009,40.61,OK
01-06-2009,41.78,OK
01-07-2009,39.51,OK
01-08-2009,39.3,OK
01-09-2009,39.14,OK
01-10-2009,39.18,OK
01-11-2009,41.68,OK
01-12-2009,45.25,OK
01-01-2010,44.48,OK
01-02-2010,44.68,OK
01-03-2010,44.68,OK
01-04-2010,50.53,OK
01-05-2010,51.08,OK
01-06-2010,48.17,OK
01-07-2010,48.17,OK
01-08-2010,51.21,OK
01-09-2010,51.47,OK
01-10-2010,56.24,OK
01-11-2010,55.88,OK
01-12-2010,54,OK
01-01-2011,53.58,OK
01-02-2011,53.35,OK
01-03-2011,54.51,OK
01-04-2011,60.19,OK
01-05-2011,59.68,OK
01-06-2011,60,OK
01-07-2011,60.54,OK
01-08-2011,60.95,OK
01-09-2011,61.53,OK
01-10-2011,60.4,OK
01-11-2011,60.4,OK
01-12-2011,60.4,OK
