indexDateString,value,statusCode
01-01-2000,386,OK
01-02-2000,386,OK
01-03-2000,386,OK
01-04-2000,386,OK
01-05-2000,386,OK
01-06-2000,386,OK
01-07-2000,346,OK
01-08-2000,320,OK
01-09-2000,320,OK
01-10-2000,320,OK
01-11-2000,326,OK
01-12-2000,326,OK
01-01-2001,326,OK
01-02-2001,344.4,OK
01-03-2001,346,OK
01-04-2001,346,OK
01-05-2001,352.4,OK
01-06-2001,378,OK
01-07-2001,378,OK
01-08-2001,382.75,OK
01-09-2001,397,OK
01-10-2001,397,OK
01-11-2001,403.4,OK
01-12-2001,429,OK
01-01-2002,429,OK
01-02-2002,429,OK
01-03-2002,429,OK
01-04-2002,429,OK
01-05-2002,429,OK
01-06-2002,429,OK
01-07-2002,429,OK
01-08-2002,429,OK
01-09-2002,429,OK
01-10-2002,429,OK
01-11-2002,461,OK
01-12-2002,461,OK
01-01-2003,470,OK
01-02-2003,506,OK
01-03-2003,494.75,OK
01-04-2003,461,OK
01-05-2003,461,OK
01-06-2003,448,OK
01-07-2003,435,OK
01-08-2003,435,OK
01-09-2003,435,OK
01-10-2003,435,OK
01-11-2003,435,OK
01-12-2003,435,OK
01-01-2004,435,OK
01-02-2004,435,OK
01-03-2004,454.5,OK
01-04-2004,454.5,OK
01-05-2004,435,OK
01-06-2004,435,OK
01-07-2004,435,OK
01-08-2004,435,OK
01-09-2004,435,OK
01-10-2004,435,OK
01-11-2004,435,OK
01-12-2004,435,OK
01-01-2005,435,OK
01-02-2005,435,OK
01-03-2005,435,OK
01-04-2005,435,OK
01-05-2005,435,OK
01-06-2005,435,OK
01-07-2005,435,OK
01-08-2005,435,OK
01-09-2005,435,OK
01-10-2005,435,OK
01-11-2005,435,OK
01-12-2005,458.4,OK
01-01-2006,474,OK
01-02-2006,458,OK
01-03-2006,442,OK
01-04-2006,442,OK
01-05-2006,442,OK
01-06-2006,442,OK
01-07-2006,442,OK
01-08-2006,429,OK
01-09-2006,390,OK
01-10-2006,390,OK
01-11-2006,390,OK
01-12-2006,390,OK
01-01-2007,417,OK
01-02-2007,422,OK
01-03-2007,455,OK
01-04-2007,461,OK
01-05-2007,461,OK
01-06-2007,461,OK
01-07-2007,461,OK
01-08-2007,465,OK
01-09-2007,504.75,OK
01-10-2007,531,OK
01-11-2007,531,OK
