indexDateString,value,statusCode
01-01-2000,11230,OK
01-02-2000,11230,OK
01-03-2000,11230,OK
01-04-2000,11430,OK
01-05-2000,11430,OK
01-06-2000,11430,OK
01-07-2000,11430,OK
01-08-2000,11430,OK
01-09-2000,11646.67,OK
01-10-2000,11646.67,OK
01-11-2000,11646.67,OK
01-12-2000,11646.67,OK
01-01-2001,11613.33,OK
01-02-2001,11613.33,OK
01-03-2001,11613.33,OK
01-04-2001,11613.33,OK
01-05-2001,11613.33,OK
01-06-2001,11613.33,OK
01-07-2001,11613.33,OK
01-08-2001,11613.33,OK
01-09-2001,11713.33,OK
01-10-2001,11713.33,OK
01-11-2001,11713.33,OK
01-12-2001,11713.33,OK
01-01-2002,11713.33,OK
01-02-2002,11713.33,OK
01-03-2002,11713.33,OK
01-04-2002,12646.67,OK
01-05-2002,12646.67,OK
01-06-2002,12646.67,OK
01-07-2002,12646.67,OK
01-08-2002,12646.67,OK
01-09-2002,12646.67,OK
01-10-2002,12646.67,OK
01-11-2002,12646.67,OK
01-12-2002,12646.67,OK
01-01-2003,12980,OK
01-02-2003,13113.33,OK
01-03-2003,12446.67,OK
01-04-2003,12566.67,OK
01-05-2003,12566.67,OK
01-06-2003,12566.67,OK
01-07-2003,12566.67,OK
01-08-2003,12566.67,OK
01-09-2003,12566.67,OK
01-10-2003,12566.67,OK
01-11-2003,12566.67,OK
01-12-2003,12566.67,OK
01-01-2004,12566.67,OK
01-02-2004,12800,OK
01-03-2004,12633.33,OK
01-04-2004,12633.33,OK
01-05-2004,12633.33,OK
01-06-2004,12633.33,OK
01-07-2004,12633.33,OK
01-08-2004,12633.33,OK
01-09-2004,13133.33,OK
01-10-2004,13266.67,OK
01-11-2004,13600,OK
01-12-2004,13296.67,OK
01-01-2005,12840,OK
01-02-2005,12940,OK
01-03-2005,13040,OK
01-04-2005,13206.67,OK
01-05-2005,13206.67,OK
01-06-2005,13206.67,OK
01-07-2005,13206.67,OK
01-08-2005,13206.67,OK
01-09-2005,13206.67,OK
01-10-2005,12906.67,OK
01-11-2005,12890,OK
01-12-2005,12890,OK
01-01-2006,12906.67,OK
01-02-2006,13073.33,OK
01-03-2006,13206.67,OK
01-04-2006,13340,OK
01-05-2006,13340,OK
01-06-2006,13340,OK
01-07-2006,13573.33,OK
01-08-2006,13606.67,OK
01-09-2006,13606.67,OK
01-10-2006,13606.67,OK
01-11-2006,13606.67,OK
01-12-2006,13656.67,OK
01-01-2007,13490,OK
01-02-2007,13490,OK
01-03-2007,14165,OK
01-04-2007,14406.67,OK
01-05-2007,14406.67,OK
01-06-2007,14406.67,OK
01-07-2007,14406.67,OK
01-08-2007,13990,OK
01-09-2007,14406.67,OK
01-10-2007,14406.67,OK
01-11-2007,14406.67,OK
