indexDateString,value,statusCode
01-01-2000,88706.33,OK
01-02-2000,89889.67,OK
01-03-2000,89889.67,OK
01-04-2000,90395.33,OK
01-05-2000,90395.33,OK
01-06-2000,90395.33,OK
01-07-2000,88654,OK
01-08-2000,90054,OK
01-09-2000,90054,OK
01-10-2000,91042.67,OK
01-11-2000,91042.67,OK
01-12-2000,90998,OK
01-01-2001,90830.83,OK
01-02-2001,90830.83,OK
01-03-2001,90830.83,OK
01-04-2001,90830.83,OK
01-05-2001,92997.17,OK
01-06-2001,92174.83,OK
01-07-2001,91689.17,OK
01-08-2001,91689.17,OK
01-09-2001,92629.7,OK
01-10-2001,91836.67,OK
01-11-2001,90836.67,OK
01-12-2001,90836.67,OK
01-01-2002,90836.67,OK
01-02-2002,90836.67,OK
01-03-2002,90836.67,OK
01-04-2002,90836.67,OK
01-05-2002,90836.67,OK
01-06-2002,91170,OK
01-07-2002,91086.67,OK
01-08-2002,91086.67,OK
01-09-2002,91415.37,OK
01-10-2002,91415.37,OK
01-11-2002,91432.03,OK
01-12-2002,91432.03,OK
01-01-2003,91432.03,OK
01-02-2003,91436.67,OK
01-03-2003,91436.67,OK
01-04-2003,91436.67,OK
01-05-2003,91436.67,OK
01-06-2003,91436.67,OK
01-07-2003,92836.67,OK
01-08-2003,93170,OK
01-09-2003,93170,OK
01-10-2003,95209.63,OK
01-11-2003,95209.67,OK
01-12-2003,97107.53,OK
01-01-2004,97274.2,OK
01-02-2004,97274.2,OK
01-03-2004,98594.83,OK
01-04-2004,100316.17,OK
01-05-2004,100149.5,OK
01-06-2004,100181,OK
01-07-2004,100191.17,OK
01-08-2004,100191.17,OK
01-09-2004,101023.17,OK
01-10-2004,102316.67,OK
01-11-2004,103115.12,OK
01-12-2004,103115.12,OK
01-01-2005,103049.79,OK
01-02-2005,103263.9,OK
01-03-2005,104005.56,OK
01-04-2005,105935.73,OK
01-05-2005,105688.9,OK
01-06-2005,105005.56,OK
01-07-2005,106403.23,OK
01-08-2005,106403.23,OK
01-09-2005,106403.23,OK
01-10-2005,106403.23,OK
01-11-2005,106403.23,OK
01-12-2005,107051.61,OK
01-01-2006,107051.61,OK
01-02-2006,107051.61,OK
01-03-2006,107051.61,OK
01-04-2006,107051.61,OK
01-05-2006,107051.61,OK
01-06-2006,107055,OK
01-07-2006,107065,OK
01-08-2006,107065,OK
01-09-2006,107065,OK
01-10-2006,106395,OK
01-11-2006,106395,OK
01-12-2006,106395,OK
01-01-2007,106395,OK
01-02-2007,106395,OK
01-03-2007,106395,OK
01-04-2007,106395,OK
01-05-2007,106395,OK
01-06-2007,106395,OK
01-07-2007,106395,OK
01-08-2007,106411.67,OK
01-09-2007,106411.67,OK
01-10-2007,111997.17,OK
01-11-2007,111980.5,OK
